"Now Shopping by","Ora acquista per"
"PayPal gateway has rejected request. %1","Il gateway di PayPal ha rifiutato la richiesta. %1"
"The PayPal gateway rejected the request. %1","Il gateway di PayPal ha rifiutato la richiesta. %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","Non siamo stati in grado di elaborare il pagamento. Prova con un altro metodo di pagamento o contattaci in modo da poterti aiutare."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","Non siamo in grado di completare la transazione. Contattaci per fornirti assistenza."
"A match of the Shipping Address City, State, and Postal Code failed.","Una combinazione dell'Indirizzo di Spedizione città, stato e codice postale non corretta."
"The payment method code is not set.","Il codice del metodo di pagamento non è impostato."
"The reference ID is not set.","L'ID di riferimento non è impostato."
"Unable to save Billing Agreement:","Impossibile salvare l'accordo di fatturazione:"
"The customer ID is not set.","L'ID del cliente non è impostato."
"The Billing Agreement status is not set.","Lo stato dell'accordo di fatturazione non è impostato."
"The PayPal certificate does not exist.","Il certificato di PayPal non esiste."
"We prefer PayPal (150 X 60)","Noi preferiamo PayPal (150 X 60)"
"We prefer PayPal (150 X 40)","Noi preferiamo PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Adesso accettiamo PayPal (150 X 60)"
"Now accepting PayPal (150 X 40)","Adesso accettiamo PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Pagamenti tramite PayPal (150 X 60)"
"Payments by PayPal (150 X 40)","Pagamenti tramite PayPal (150 X 40)"
"Shop now using (150 X 60)","Compra ora utilizzando (150 X 60)"
"Shop now using (150 X 40)","Compra ora utilizzando (150 X 40)"
Shortcut,"Scelta rapida"
"Acceptance Mark Image","Immagine di marchio di accettazione"
"For Virtual Quotes Only","Solo per preventivi virtuali"
"Ask Customer","Chiedere al cliente"
"IPN (Instant Payment Notification) Only","Solo IPN (notifica immediata del pagamento)"
"API Signature","Firma API"
"API Certificate","Certificato API"
"The maximum number of child authorizations is reached.","È stato raggiunto il numero massimo di autorizzazioni figlie."
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","Autorizzeremo l'importo di %1 non appena verrà approvato dal gateway di pagamento."
"The authorized amount is %1.","L'importo autorizzato è %1."
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","PayPal non è in grado di elaborare gli ordini con un saldo pari a zero. Per completare l'acquisto, si prega di passare attraverso il processo di checkout standard."
"A payer is not identified.","Non è stato identificato un pagatore."
"Cannot get secure form URL from PayPal","Impossibile ottenere modulo URL sicuro da PayPal"
"Last Transaction ID","ID ultima transazione"
"This customer didn't include a confirmed address.","Questo cliente non ha incluso un indirizzo confermato."
"The payment is authorized but not settled.","Il pagamento è autorizzato, ma non saldato."
"The payment eCheck is not cleared.","L'assegno elettronico di pagamento non è stato liquidato."
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","Il commerciante è titolare di un conto non statunitense e non ha un meccanismo di prelievo."
"The payment currency doesn't match any of the merchant's balances currency.","La valuta di pagamento non corrisponde a nessuna valuta dei saldi del commerciante."
"The payment is pending while it is being reviewed by PayPal for risk.","Il pagamento è in sospeso mentre viene rivisto da PayPal causa rischio."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Il pagamento è in sospeso perché è stato fatto da un indirizzo email non ancora registrato o confermato."
"The merchant account is not yet verified.","Il conto venditore non è stato ancora verificato."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Il pagamento è stato effettuato tramite carta di credito. Al fine di ricevere fondi venditore devi aggiornare lo status dell'account in Business o Premier."
"Sorry, but something went wrong. Please contact PayPal customer service.","Spiacenti, ma qualcosa è andato storto. Contattare l'assistenza clienti PayPal."
"A reversal has occurred on this transaction due to a chargeback by your customer.","È stato eseguito uno storno su questa transazione a causa di un rimborso chiesto dal cliente."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","È stato eseguito uno storno su questa transazione a causa dell'attivazione da parte del cliente del soddisfatti o rimborsati."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","È stato eseguito uno storno su questa transazione a causa di un reclamo da parte del cliente riguardante la transazione."
"A reversal has occurred on this transaction because you have given the customer a refund.","È stato eseguito uno storno su questa transazione perché hai concesso un rimborso al cliente."
"Reversal of an adjustment.","Inversione di un adeguamento."
"Transaction reversal due to fraud detected by PayPal administrators.","Storno transazione a causa di frode scoperta dagli amministratori di PayPal."
"Transaction reversal by PayPal administrators.","Storno transazione dagli amministratori di PayPal."
"Reimbursement for a chargeback.","Rimborso per un chargeback."
"Settlement of a chargeback.","Liquidazione di un riaccredito."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","È stato eseguito uno storno su questa transazione a causa di una controversia con il cliente per sospetta falsificazione."
"Buyer claims that he did not receive goods or service.","L'acquirente sostiene di non aver ricevuto beni o servizi."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","L'acquirente sostiene che la merce o il servizio ricevuto differisce dalla descrizione fornita dal commerciante."
"Buyer claims that he/she did not authorize transaction.","L'acquirente sostiene di non aver autorizzato la transazione."
"A case that has been resolved and close requires a reimbursement.","Un caso che è stato risolto e chiuso richiede un rimborso."
"Buyer claims that a possible duplicate payment was made to the merchant.","L'acquirente sostiene che è possibile che sia stato effettuato un doppio pagamento al commerciante."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","L'acquirente sostiene che la merce ricevuta sia insoddisfacente, difettosa o danneggiata."
"Unknown reason. Please contact PayPal customer service.","Motivo sconosciuto. Contattare l'assistenza clienti PayPal."
"Payer ID","ID pagatore"
"Payer Email","Email pagatore"
"Payer Status","Stato pagatore"
"Payer Address ID","ID indirizzo pagatore"
"Payer Address Status","Stato dell'indirizzo del pagatore"
"Merchant Protection Eligibility","Ammissibilità protezione commerciante"
"Triggered Fraud Filters","Attivati filtri di frode"
"Last Correlation ID","Ultimo ID correlazione"
"Address Verification System Response","Risposta del sistema di verifica dell'indirizzo"
"CVV2 Check Result by PayPal","CVV2 Controllo risultati da PayPal"
"International AVS response","Risposta internazionale AVS"
"Buyer's Tax ID","ID fiscale acquirente"
"Buyer's Tax ID Type","Tipo di ID fiscale dell'acquirente"
Complaint,Reclamo
Dispute,Controversia
"Matched Address only (no ZIP)","Solo indirizzo corrispondente (no CAP)"
"Matched Address only (no ZIP) International","Solo indirizzo internazionale corrispondente (no CAP)"
"No Details matched","Nessun dettaglio corrispondente"
"No Details matched. International","Nessun dettaglio corrispondente. Internazionale"
"Exact Match.","Corrispondenza esatta."
"Exact Match. Address and Postal Code. International","Corrispondenza esatta. Indirizzo e codice postale. Internazionale"
"Exact Match. Address and Postal Code. UK-specific","Corrispondenza esatta. Indirizzo e codice postale. Specifico per UK"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/D. Non consentito per transazioni MOTO (Internet/telefono)"
"N/A. Global Unavailable","N/D. Globale non disponibile"
"N/A. International Unavailable","N/D. Internazionale non disponibile"
"Matched five-digit ZIP only (no Address)","Solo ZIP di cinque cifre corrispondenti (no indirizzo)"
"Matched Postal Code only (no Address)","Solo codice postale corrispondente (no indirizzo)"
"N/A. Retry","N/D. Riprova"
"N/A. Service not Supported","N/D. Servizio non supportato"
"N/A. Unavailable","N/D. non disponibile"
"Matched whole nine-digit ZIP (no Address)","Verificato codice ZIP a nove cifre (no Indirizzo)"
"Yes. Matched Address and five-digit ZIP","Sì. Verificato l'indirizzo e il codice ZIP a cinque cifre"
"All the address information matched","Tutte le informazioni di indirizzo corrispondono"
"None of the address information matched","Non corrisponde nessuna delle informazioni dell'indirizzo"
"Part of the address information matched","Corrisponde una parte delle informazioni dell'indirizzo"
"N/A. The merchant did not provide AVS information","N/D. Il commerciante non ha fornito informazioni AVS"
"N/A. Address not checked, or acquirer had no response. Service not available","N/D. indirizzo non verificato, o l'acquirente non ha ricevuto risposta. Servizio non disponibile"
"Matched (CVV2CSC)","Corrispondenti (CVV2CSC)"
"No match","Nessuna corrispondenza"
"N/A. Not processed","N/D. Non elaborato"
"N/A. Service not supported","N/D. Servizio non supportato"
"N/A. Service not available","N/D. Service non disponibile"
"N/A. No response","N/D. Nessuna risposta"
"Matched (CVV2)","Corrispondente (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","N/D. Il commerciante non ha implementato la gestione del codice CVV2"
"N/A. Merchant has indicated that CVV2 is not present on card","N/D. Il commerciante ha indicato che il CVV2 non è presente sulla carta"
"Note: %1","Nota: %1"
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". Tipo di caso ""%2"". ID caso ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". Una controversia è stata risolta e chiusa. %2 Importo transazione %3."
"You notified customer about invoice #%1.","Hai notificato il cliente riguardo la fattura #%1."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 Importo transazione %3. ID transazione: ""%4"""
